# video09 待标注队列，由 python -m src.select_frames 生成
# 共 20 帧（候选 20），按选取顺序排列；hint_axis_deg 是掩膜 PCA 主轴，仅作粗初值，不可当结果
k,frame,t,cx,cy,w,h,conf,hint_axis_deg,psi_vel_deg,speed_blps,prio,img
1,1,0.0440,331.60,107.60,189.00,122.00,0.2252,22.42,80.64,1.753,0,crops/video09/00001.jpg
26,29,1.1440,594.56,395.70,169.00,103.00,0.2122,162.72,27.39,2.018,1,crops/video09/00026.jpg
11,12,0.4840,399.69,233.14,159.00,97.00,0.1925,0.13,48.99,2.260,2,crops/video09/00011.jpg
5,6,0.2200,347.90,160.27,144.00,114.00,0.1961,10.71,50.27,2.283,3,crops/video09/00005.jpg
17,19,0.7480,471.46,311.59,159.00,89.00,0.1902,171.90,44.64,1.896,4,crops/video09/00017.jpg
2,3,0.0880,315.91,135.24,129.00,104.00,0.2198,30.88,75.71,1.787,5,crops/video09/00002.jpg
9,10,0.3960,380.91,210.04,145.00,103.00,0.1906,5.97,55.62,2.009,6,crops/video09/00009.jpg
23,26,1.0120,556.90,374.49,160.00,96.00,0.1947,167.67,31.24,2.139,7,crops/video09/00023.jpg
28,31,1.2320,619.08,407.40,180.00,104.00,0.2105,167.63,24.84,1.974,8,crops/video09/00028.jpg
3,4,0.1320,332.33,133.50,141.00,119.00,0.2068,18.44,66.54,1.893,9,crops/video09/00003.jpg
15,17,0.6600,451.46,289.65,158.00,92.00,0.1898,174.54,47.67,2.593,10,crops/video09/00015.jpg
6,7,0.2640,359.04,174.01,136.00,112.00,0.2007,5.77,59.07,2.270,11,crops/video09/00006.jpg
18,20,0.7920,483.23,321.08,159.00,89.00,0.1900,174.28,40.76,2.232,12,crops/video09/00018.jpg
7,8,0.3080,367.24,186.48,149.00,112.00,0.1932,9.39,57.04,2.102,13,crops/video09/00007.jpg
27,30,1.1880,606.05,403.13,170.00,107.00,0.2062,164.84,25.70,1.988,14,crops/video09/00027.jpg
10,11,0.4400,389.60,221.19,145.00,102.00,0.1978,3.85,52.42,2.003,15,crops/video09/00010.jpg
25,28,1.1000,581.49,388.53,169.00,101.00,0.2066,168.29,29.54,2.058,16,crops/video09/00025.jpg
8,9,0.3520,373.83,198.16,143.00,106.00,0.1958,7.18,57.54,1.992,17,crops/video09/00008.jpg
4,5,0.1760,340.43,146.96,132.00,117.00,0.2059,19.23,49.79,2.074,18,crops/video09/00004.jpg
24,27,1.0560,568.05,381.98,164.00,97.00,0.1935,167.44,30.17,1.992,19,crops/video09/00024.jpg
