# video01 待标注队列，由 python -m src.select_frames 生成
# 共 25 帧（候选 57），按选取顺序排列；hint_axis_deg 是掩膜 PCA 主轴，仅作粗初值，不可当结果
k,frame,t,cx,cy,w,h,conf,hint_axis_deg,psi_vel_deg,speed_blps,prio,img
31,107,1.8318,147.75,570.33,128.00,112.00,0.2939,4.02,71.20,1.594,0,crops/video01/00031.jpg
12,61,0.7091,179.12,248.39,108.00,188.00,0.2573,96.72,141.53,1.844,1,crops/video01/00012.jpg
57,169,3.3682,542.03,466.83,86.00,136.00,0.2383,51.80,267.95,2.028,2,crops/video01/00057.jpg
39,126,2.3045,239.94,691.65,169.00,188.00,0.2396,138.03,12.54,2.981,3,crops/video01/00039.jpg
65,189,3.8409,515.02,339.76,123.00,101.00,0.2344,26.18,238.95,1.360,4,crops/video01/00065.jpg
51,155,3.0136,515.87,599.79,111.00,211.00,0.2327,77.20,304.32,2.070,5,crops/video01/00051.jpg
74,210,4.3727,419.48,260.69,140.00,105.00,0.2283,157.54,202.28,1.077,6,crops/video01/00074.jpg
7,49,0.4136,252.68,206.56,135.00,184.00,0.2574,121.01,160.58,1.757,7,crops/video01/00007.jpg
0,0,0.0000,353.82,190.87,167.00,158.00,0.2556,146.57,186.46,0.887,8,crops/video01/00000.jpg
44,138,2.6000,371.77,698.14,139.00,194.00,0.2304,115.27,341.88,2.839,9,crops/video01/00044.jpg
35,117,2.0682,187.02,627.77,197.00,130.00,0.2523,165.05,77.20,1.844,10,crops/video01/00035.jpg
29,102,1.7136,148.30,540.37,105.00,117.00,0.2695,33.63,93.68,1.418,11,crops/video01/00029.jpg
18,76,1.0636,130.68,340.18,75.00,167.00,0.2445,82.20,97.44,1.964,12,crops/video01/00018.jpg
37,121,2.1864,187.29,670.24,181.00,150.00,0.2583,152.12,55.91,2.142,13,crops/video01/00037.jpg
28,100,1.6545,149.82,527.47,95.00,117.00,0.2571,69.30,93.72,1.372,14,crops/video01/00028.jpg
30,105,1.7727,147.34,557.49,116.00,114.00,0.2791,16.71,84.84,1.517,15,crops/video01/00030.jpg
4,42,0.2364,303.38,193.25,150.00,178.00,0.2520,132.96,171.70,1.830,16,crops/video01/00004.jpg
10,57,0.5909,208.22,227.69,119.00,188.00,0.2553,107.82,147.62,1.695,17,crops/video01/00010.jpg
55,165,3.2500,541.86,512.58,90.00,158.00,0.2401,62.70,275.13,2.327,18,crops/video01/00055.jpg
62,182,3.6636,534.09,380.40,101.00,120.00,0.2390,36.28,255.47,1.595,19,crops/video01/00062.jpg
26,95,1.5364,148.12,500.70,84.00,117.00,0.2518,91.71,83.35,1.437,20,crops/video01/00026.jpg
33,112,1.9500,168.12,600.40,161.00,112.00,0.2776,175.59,51.34,1.742,21,crops/video01/00033.jpg
60,177,3.5455,538.41,413.27,91.00,115.00,0.2322,44.21,264.26,1.818,22,crops/video01/00060.jpg
53,160,3.1318,533.33,558.81,95.00,196.00,0.2381,71.66,286.45,2.343,23,crops/video01/00053.jpg
11,59,0.6500,194.04,237.47,114.00,187.00,0.2602,102.54,144.66,1.766,24,crops/video01/00011.jpg
