# video12 待标注队列，由 python -m src.select_frames 生成
# 共 55 帧（候选 186），按选取顺序排列；hint_axis_deg 是掩膜 PCA 主轴，仅作粗初值，不可当结果
k,frame,t,cx,cy,w,h,conf,hint_axis_deg,psi_vel_deg,speed_blps,prio,img
70,90,4.0629,518.79,251.91,110.00,93.00,0.2247,38.76,271.41,0.185,0,crops/video12/00070.jpg
221,323,12.8273,478.72,316.89,124.00,118.00,0.1575,140.24,129.91,3.813,1,crops/video12/00221.jpg
97,127,5.6301,437.08,245.67,69.00,120.00,0.2064,92.08,153.03,0.096,2,crops/video12/00097.jpg
9,10,0.5224,409.42,472.73,817.00,143.00,0.2233,177.70,174.66,1.466,3,crops/video12/00009.jpg
251,372,14.5685,524.45,251.79,136.00,82.00,0.1892,13.17,291.98,0.190,4,crops/video12/00251.jpg
240,358,13.9301,523.94,285.26,101.00,121.00,0.2173,66.88,313.76,1.660,5,crops/video12/00240.jpg
258,381,14.9748,513.64,234.01,135.00,78.00,0.1752,168.84,122.34,4.322,6,crops/video12/00258.jpg
87,115,5.0497,453.36,234.77,86.00,109.00,0.1559,114.47,159.82,0.199,7,crops/video12/00087.jpg
85,113,4.9336,463.62,232.09,130.00,96.00,0.1442,155.53,170.49,0.338,8,crops/video12/00085.jpg
244,363,14.1622,525.29,274.27,123.00,116.00,0.1988,47.99,261.47,0.166,9,crops/video12/00244.jpg
65,83,3.7727,522.67,267.15,108.00,115.00,0.2084,58.02,328.84,5.759,10,crops/video12/00065.jpg
72,92,4.1790,525.39,248.54,156.00,86.00,0.2008,18.52,338.99,0.284,11,crops/video12/00072.jpg
250,371,14.5105,518.87,253.91,114.00,87.00,0.1946,31.68,286.70,0.190,12,crops/video12/00250.jpg
86,114,4.9916,455.41,233.41,91.00,103.00,0.1503,132.37,162.57,0.259,13,crops/video12/00086.jpg
171,227,9.9252,328.29,477.98,671.00,142.00,0.1265,177.25,27.66,0.209,14,crops/video12/00171.jpg
102,133,5.9203,428.58,254.83,76.00,117.00,0.2100,73.69,110.73,0.334,15,crops/video12/00102.jpg
