# video03 待标注队列，由 python -m src.select_frames 生成
# 共 45 帧（候选 192），按选取顺序排列；hint_axis_deg 是掩膜 PCA 主轴，仅作粗初值，不可当结果
k,frame,t,cx,cy,w,h,conf,hint_axis_deg,psi_vel_deg,speed_blps,prio,img
40,79,1.3695,309.45,203.74,494.00,386.00,0.3497,49.51,197.33,0.365,0,crops/video03/00040.jpg
17,33,0.5820,414.57,223.62,259.00,271.00,0.2835,139.42,212.90,0.448,1,crops/video03/00017.jpg
144,285,4.9302,472.98,705.40,523.00,252.00,0.3306,4.87,34.35,0.351,2,crops/video03/00144.jpg
93,183,3.1841,287.48,462.96,547.00,386.00,0.3404,27.25,71.76,0.349,3,crops/video03/00093.jpg
4,7,0.1370,427.38,178.96,251.00,226.00,0.2919,167.96,114.66,0.211,4,crops/video03/00004.jpg
69,135,2.3624,260.73,319.76,533.00,461.00,0.3355,38.82,88.41,0.466,5,crops/video03/00069.jpg
115,227,3.9373,346.77,580.18,547.00,319.00,0.3434,16.00,55.50,0.357,6,crops/video03/00115.jpg
190,377,6.5052,787.06,774.78,481.00,129.00,0.2603,177.40,7.41,0.469,7,crops/video03/00190.jpg
11,21,0.3766,419.12,204.23,259.00,247.00,0.2921,157.17,105.02,0.228,8,crops/video03/00011.jpg
129,255,4.4167,402.41,644.72,535.00,279.00,0.3404,10.53,45.94,0.360,9,crops/video03/00129.jpg
80,157,2.7390,269.06,387.05,548.00,425.00,0.3353,33.11,76.86,0.377,10,crops/video03/00080.jpg
58,115,1.9858,264.24,254.88,511.00,468.00,0.3372,44.61,106.31,0.271,11,crops/video03/00058.jpg
103,203,3.5265,310.19,519.25,548.00,356.00,0.3426,21.43,64.36,0.346,12,crops/video03/00103.jpg
23,46,0.7875,375.76,199.82,301.00,296.00,0.3164,55.88,175.14,0.166,13,crops/video03/00023.jpg
152,301,5.2041,510.23,728.23,523.00,217.00,0.3242,178.98,25.20,0.324,14,crops/video03/00152.jpg
13,25,0.4451,417.62,209.95,255.00,256.00,0.2871,147.98,102.02,0.223,15,crops/video03/00013.jpg
136,269,4.6563,433.68,674.61,529.00,266.00,0.3369,7.58,40.97,0.360,16,crops/video03/00136.jpg
168,333,5.7519,615.94,752.64,501.00,169.00,0.3034,177.02,8.20,0.448,17,crops/video03/00168.jpg
0,0,0.0000,433.00,165.17,254.00,218.00,0.2917,173.54,110.61,0.234,18,crops/video03/00000.jpg
86,169,2.9444,276.48,423.38,544.00,407.00,0.3381,30.12,77.59,0.349,19,crops/video03/00086.jpg
122,241,4.1770,373.54,612.77,542.00,298.00,0.3441,12.75,50.66,0.352,20,crops/video03/00122.jpg
109,215,3.7319,327.48,549.60,548.00,337.00,0.3413,18.66,58.93,0.350,21,crops/video03/00109.jpg
48,95,1.6434,287.76,225.56,495.00,422.00,0.3353,46.72,133.09,0.237,22,crops/video03/00048.jpg
65,125,2.2255,260.85,289.82,520.00,474.00,0.3355,41.91,94.00,0.351,23,crops/video03/00065.jpg
98,193,3.3553,297.64,491.29,547.00,371.00,0.3399,24.50,66.45,0.373,24,crops/video03/00098.jpg
33,65,1.1298,343.85,207.64,351.00,339.00,0.3314,52.99,160.19,0.208,25,crops/video03/00033.jpg
160,317,5.4780,560.92,742.34,511.00,190.00,0.3191,178.26,12.48,0.394,26,crops/video03/00160.jpg
74,145,2.5336,262.82,350.06,539.00,442.00,0.3342,36.29,83.68,0.357,27,crops/video03/00074.jpg
7,13,0.2397,423.56,189.87,252.00,236.00,0.2921,163.45,105.91,0.213,28,crops/video03/00007.jpg
177,351,6.0601,685.79,761.43,492.00,146.00,0.2841,177.86,6.85,0.468,29,crops/video03/00177.jpg
148,293,5.0672,491.74,717.92,519.00,235.00,0.3287,1.30,31.73,0.324,30,crops/video03/00148.jpg
18,36,0.6163,413.39,227.42,260.00,275.00,0.2845,135.75,219.19,0.718,31,crops/video03/00018.jpg
20,40,0.6848,383.54,198.17,296.00,284.00,0.3087,52.73,216.60,0.580,32,crops/video03/00020.jpg
53,105,1.8146,274.65,239.44,498.00,445.00,0.3341,45.50,126.48,0.223,33,crops/video03/00053.jpg
8,15,0.2739,422.71,191.94,253.00,240.00,0.2886,159.88,105.33,0.233,34,crops/video03/00008.jpg
119,235,4.0743,360.86,599.01,545.00,307.00,0.3422,14.44,48.45,0.365,35,crops/video03/00119.jpg
141,279,4.8275,457.64,694.29,524.00,265.00,0.3327,6.48,37.96,0.387,36,crops/video03/00141.jpg
183,363,6.2655,732.18,767.14,487.00,142.00,0.2679,177.13,7.51,0.443,37,crops/video03/00183.jpg
77,151,2.6363,265.14,368.44,543.00,432.00,0.3347,34.55,82.22,0.363,38,crops/video03/00077.jpg
83,163,2.8417,272.53,405.35,539.00,416.00,0.3373,31.75,78.93,0.366,39,crops/video03/00083.jpg
132,261,4.5194,415.50,657.63,534.00,271.00,0.3372,9.12,44.43,0.370,40,crops/video03/00132.jpg
29,57,0.9929,356.51,202.52,341.00,321.00,0.3264,54.70,159.73,0.191,41,crops/video03/00029.jpg
164,325,5.6150,586.71,747.63,505.00,175.00,0.3128,177.55,10.13,0.405,42,crops/video03/00164.jpg
14,27,0.4793,416.86,215.33,256.00,262.00,0.2888,150.47,100.72,0.218,43,crops/video03/00014.jpg
1,1,0.0342,431.68,168.48,259.00,219.00,0.2897,171.06,111.15,0.229,44,crops/video03/00001.jpg
