k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,axis_src,psi_body_deg,beta_deg
0,0,0.0000,632.4365,220.8904,-27.9652,-88.7472,93.0490,1.9385,252.5098,74.7791,pca,254.7791,2.2693
1,1,0.0443,631.1966,216.9556,-27.6403,-86.5316,90.8389,1.8925,252.2852,72.7286,pca,252.7286,0.4433
2,3,0.0887,629.9855,213.2173,-26.9906,-82.1004,86.4232,1.8005,251.8017,65.8718,pca,245.8718,-5.9299
3,4,0.1330,628.8032,209.6754,-26.0224,-77.9887,82.2156,1.7128,251.5478,64.3973,pca,244.3973,-7.1505
4,5,0.1773,627.6780,206.3016,-24.6115,-71.7640,75.8669,1.5806,251.0706,62.4678,pca,242.4678,-8.6028
5,6,0.2217,626.6208,203.3117,-26.5734,-70.9798,75.7910,1.5790,249.4751,59.3014,pca,239.3014,-10.1737
6,7,0.2660,625.3216,200.0075,-30.3787,-74.6179,80.5649,1.6784,247.8476,58.0757,pca,238.0757,-9.7718
7,8,0.3104,623.9270,196.6950,-31.3715,-73.6858,80.0860,1.6685,246.9383,55.9400,pca,235.9400,-10.9983
8,9,0.3547,622.5397,193.4735,-31.4142,-73.9651,80.3597,1.6742,246.9883,53.1026,pca,233.1026,-13.8857
9,10,0.3990,621.1413,190.1362,-32.1546,-73.4921,80.2185,1.6712,246.3694,50.4450,pca,230.4450,-15.9245
10,11,0.4434,619.6884,186.9566,-33.2987,-71.3987,78.7818,1.6413,244.9967,46.9505,pca,226.9505,-18.0462
11,12,0.4877,618.1886,183.8049,-34.5184,-70.1102,78.1471,1.6281,243.7869,44.7077,pca,224.7077,-19.0792
12,13,0.5320,616.6275,180.7396,-35.6517,-67.2588,76.1235,1.5859,242.0734,43.9095,pca,223.9095,-18.1640
13,14,0.5764,615.0272,177.8408,-35.1896,-61.2980,70.6806,1.4725,240.1410,40.1972,pca,220.1972,-19.9438
14,15,0.6207,613.5071,175.3040,-37.7057,-63.9961,74.2780,1.5475,239.4940,37.9323,pca,217.9323,-21.5616
15,16,0.6651,611.6836,172.1660,-43.5545,-73.7188,85.6240,1.7838,239.4246,37.3024,pca,217.3024,-22.1221
16,17,0.7094,609.6449,168.7670,-48.7268,-77.8817,91.8687,1.9139,237.9678,33.5326,pca,213.5326,-24.4351
17,19,0.7537,607.3628,165.2598,-49.9331,-77.6887,92.3518,1.9240,237.2698,30.7644,pca,210.7644,-26.5054
18,20,0.7981,605.2171,161.8780,-49.6804,-72.7330,88.0809,1.8350,235.6649,28.1645,pca,208.1645,-27.5004
19,21,0.8424,602.9574,158.8102,-49.5103,-62.3955,79.6522,1.6594,231.5683,24.8595,pca,204.8595,-26.7088
20,22,0.8867,600.8268,156.3451,-45.8006,-55.0034,71.5756,1.4912,230.2163,24.1498,pca,204.1498,-26.0665
21,23,0.9311,598.8961,153.9328,-49.6396,-60.1698,78.0032,1.6251,230.4777,20.4851,pca,200.4851,-29.9925
22,24,0.9754,596.4250,151.0095,-59.1400,-69.7984,91.4842,1.9059,229.7255,18.0804,pca,198.0804,-31.6451
23,25,1.0198,593.6518,147.7435,-60.6602,-73.1172,95.0041,1.9793,230.3199,17.4386,pca,197.4386,-32.8814
24,27,1.0641,591.0460,144.5259,-59.7106,-70.4034,92.3147,1.9232,229.6980,13.2425,pca,193.2425,-36.4555
25,28,1.1084,588.3570,141.5005,-58.9162,-64.1947,87.1325,1.8153,227.4551,11.9614,pca,191.9614,-35.4938
26,29,1.1528,585.8216,138.8334,-54.2324,-53.9837,76.5205,1.5942,224.8684,9.2567,pca,189.2567,-35.6116
27,30,1.1971,583.5480,136.7135,-53.9727,-48.9216,72.8448,1.5176,222.1896,8.1615,pca,188.1615,-34.0280
28,31,1.2414,581.0356,134.4953,-54.3893,-49.6457,73.6403,1.5342,222.3893,4.2924,pca,184.2924,-38.0969
29,32,1.2858,578.7250,132.3112,-52.9037,-47.4227,71.0473,1.4802,221.8730,1.3881,pca,181.3881,-40.4849
30,33,1.3301,576.3444,130.2901,-52.6723,-44.2551,68.7960,1.4332,220.0369,2.2847,pca,182.2847,-37.7522
31,34,1.3745,574.0543,128.3869,-52.4686,-41.5624,66.9357,1.3945,218.3841,179.1829,pca,179.1829,-39.2012
32,35,1.4188,571.6918,126.6046,-57.8822,-41.1341,71.0096,1.4794,215.3996,178.7836,pca,178.7836,-36.6160
33,36,1.4631,568.9216,124.7393,-60.0344,-39.8894,72.0784,1.5016,213.6017,177.4975,pca,177.4975,-36.1043
34,37,1.5075,566.3682,123.0674,-57.8623,-37.4726,68.9365,1.4362,212.9278,175.4832,pca,175.4832,-37.4446
35,38,1.5518,563.7907,121.4164,-58.2040,-37.0167,68.9778,1.4370,212.4556,171.9626,pca,171.9626,-40.4931
36,39,1.5961,561.2070,119.7850,-56.7427,-36.1048,67.2554,1.4012,212.4682,171.7295,pca,171.7295,-40.7387
37,40,1.6405,558.7591,118.2148,-56.7921,-32.4484,65.4083,1.3627,209.7417,168.6490,pca,168.6490,-41.0926
38,41,1.6848,556.1710,116.9076,-59.4163,-28.2831,65.8044,1.3709,205.4552,167.8234,pca,167.8234,-37.6318
39,42,1.7292,553.4904,115.7068,-58.5551,-25.5150,63.8727,1.3307,203.5449,166.4412,pca,166.4412,-37.1037
40,43,1.7735,550.9786,114.6451,-59.3516,-24.1662,64.0829,1.3351,202.1547,164.8365,pca,164.8365,-37.3182
41,44,1.8178,548.2274,113.5639,-58.5735,-25.0805,63.7172,1.3274,203.1800,164.8219,pca,164.8219,-38.3581
42,45,1.8622,545.7846,112.4211,-55.2575,-25.4632,60.8421,1.2675,204.7407,164.1898,pca,164.1898,-40.5509
43,46,1.9065,543.3274,111.3060,-53.7491,-23.1851,58.5364,1.2195,203.3334,163.6923,pca,163.6923,-39.6411
44,47,1.9508,541.0185,110.3652,-58.4406,-21.8835,62.4035,1.3001,200.5287,162.5213,pca,162.5213,-38.0074
45,48,1.9952,538.1452,109.3655,-66.6603,-22.8160,70.4569,1.4679,198.8947,162.3058,pca,162.3058,-36.5889
46,49,2.0395,535.1074,108.3420,-70.9557,-22.4959,74.4364,1.5508,197.5908,162.9435,pca,162.9435,-34.6472
47,51,2.0839,531.8532,107.3706,-70.4362,-20.1509,73.2620,1.5263,195.9651,161.3893,pca,161.3893,-34.5759
48,52,2.1282,528.8615,106.5551,-63.8356,-15.5608,65.7048,1.3689,193.6995,163.3063,pca,163.3063,-30.3932
49,53,2.1725,526.1926,105.9908,-53.8836,-10.3787,54.8740,1.1432,190.9024,162.8409,pca,162.8409,-28.0615
50,54,2.2169,524.0834,105.6348,-47.4652,-7.4470,48.0459,1.0010,188.9167,163.8184,pca,163.8184,-25.0983
51,55,2.2612,521.9837,105.3304,-50.5216,-6.1029,50.8889,1.0602,186.8878,163.5618,pca,163.5618,-23.3260
52,56,2.3055,519.6034,105.0936,-58.1458,-4.9060,58.3524,1.2157,184.8228,163.6132,pca,163.6132,-21.2096
53,57,2.3499,516.8276,104.8954,-65.0913,-3.2626,65.1730,1.3578,182.8695,166.0725,pca,166.0725,-16.7969
54,59,2.3942,513.8314,104.8043,-67.8295,-0.6646,67.8327,1.4132,180.5614,168.3888,pca,168.3888,-12.1726
55,60,2.4386,510.8129,104.8365,-65.9566,0.4318,65.9580,1.3741,179.6249,169.0043,pca,169.0043,-10.6206
56,61,2.4829,507.9827,104.8426,-58.1941,1.0166,58.2030,1.2126,178.9992,170.0583,pca,170.0583,-8.9409
57,62,2.5272,505.6525,104.9266,-49.3548,1.6156,49.3813,1.0288,178.1251,170.4068,pca,170.4068,-7.7183
58,63,2.5716,503.6062,104.9858,-51.4434,-0.3118,51.4444,1.0718,180.3473,171.8268,pca,171.8268,-8.5204
59,64,2.6159,501.0908,104.8990,-62.8524,-1.8814,62.8806,1.3100,181.7146,172.8736,pca,172.8736,-8.8409
60,65,2.6602,498.0328,104.8190,-71.3325,-0.3427,71.3333,1.4861,180.2753,173.7083,pca,173.7083,-6.5670
61,67,2.7046,494.7654,104.8686,-72.6847,1.1819,72.6943,1.5145,179.0685,171.9946,pca,171.9946,-7.0739
62,68,2.7489,491.5875,104.9238,-68.9974,1.6443,69.0170,1.4379,178.6348,172.5917,pca,172.5917,-6.0432
63,69,2.7933,488.6471,105.0144,-60.9172,2.3157,60.9612,1.2700,177.8230,173.4569,pca,173.4569,-4.3661
64,70,2.8376,486.1857,105.1291,-53.7473,3.0676,53.8347,1.1216,176.7334,173.6286,pca,173.6286,-3.1048
65,71,2.8819,483.8811,105.2864,-56.0382,2.8272,56.1095,1.1689,177.1118,172.1087,pca,172.1087,-5.0031
66,72,2.9263,481.2165,105.3798,-62.9049,4.5609,63.0701,1.3140,175.8530,171.5576,pca,171.5576,-4.2955
67,73,2.9706,478.3030,105.6908,-68.0803,6.3904,68.3796,1.4246,174.6376,174.6674,pca,174.6674,0.0298
68,75,3.0149,475.1795,105.9465,-67.4436,5.0847,67.6350,1.4091,175.6885,173.0480,pca,173.0480,-2.6405
69,76,3.0593,472.3224,106.1417,-70.6891,6.3228,70.9714,1.4786,174.8888,171.5174,pca,171.5174,-3.3713
70,77,3.1036,468.9112,106.5072,-71.3596,9.6659,72.0112,1.5002,172.2860,171.2605,pca,171.2605,-1.0255
71,78,3.1480,465.9946,106.9989,-71.7710,11.3163,72.6577,1.5137,171.0398,172.8070,pca,172.8070,1.7672
72,80,3.1923,462.5469,107.5106,-83.4714,13.9305,84.6258,1.7630,170.5253,170.5997,pca,170.5997,0.0744
73,81,3.2366,458.5929,108.2341,-88.8307,16.3432,90.3216,1.8817,169.5752,171.0265,pca,171.0265,1.4513
74,83,3.2810,454.6699,108.9599,-80.8697,17.0446,82.6464,1.7218,168.0982,168.3742,pca,168.3742,0.2760
75,84,3.3253,451.4218,109.7456,-72.8641,18.1468,75.0898,1.5644,166.0150,168.4607,pca,168.4607,2.4457
76,85,3.3696,448.2087,110.5690,-63.0756,17.1069,65.3542,1.3615,164.8256,167.9424,pca,167.9424,3.1167
77,86,3.4140,445.8286,111.2625,-56.3836,16.6572,58.7926,1.2248,163.5415,167.9658,pca,167.9658,4.4243
78,87,3.4583,443.2089,112.0461,-59.3347,17.3944,61.8318,1.2882,163.6611,166.7070,pca,166.7070,3.0459
79,88,3.5027,440.5671,112.8050,-58.4273,17.4856,60.9876,1.2706,163.3391,164.0133,pca,164.0133,0.6743
80,89,3.5470,438.0278,113.5966,-56.5532,18.1755,59.4021,1.2375,162.1832,166.4636,pca,166.4636,4.2804
81,90,3.5913,435.5522,114.4167,-55.1183,18.8146,58.2410,1.2134,161.1527,164.2052,pca,164.2052,3.0525
82,91,3.6357,433.1402,115.2650,-54.4009,19.1342,57.6678,1.2014,160.6219,166.0564,pca,166.0564,5.4345
