k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,psi_body_deg,beta_deg
0,0,0.0000,627.0123,326.7746,-6.8319,-57.9822,58.3833,1.2163,263.2799,86.3932,266.3932,3.1133
1,1,0.0442,626.7103,324.2112,-6.6813,-59.5537,59.9274,1.2485,263.5988,85.8134,265.8134,2.2146
2,2,0.0884,626.4216,321.5088,-6.3799,-62.6968,63.0206,1.3129,264.1897,86.4523,266.4523,2.2626
3,4,0.1326,626.1462,318.6675,-5.9157,-68.2542,68.5101,1.4273,265.0464,88.9098,268.9098,3.8633
4,5,0.1768,625.8985,315.4737,-6.7006,-73.0707,73.3772,1.5287,264.7606,87.6607,267.6607,2.9001
5,6,0.2211,625.5537,312.2065,-6.8156,-69.8151,70.1470,1.4614,264.4242,86.8960,266.8960,2.4718
6,7,0.2653,625.2959,309.3006,-4.9752,-66.6196,66.8051,1.3918,265.7290,87.2238,267.2238,1.4947
7,8,0.3095,625.1138,306.3159,-5.2564,-62.9670,63.1860,1.3164,265.2281,85.4924,265.4924,0.2643
8,9,0.3537,624.8311,303.7330,-6.1090,-53.0330,53.3837,1.1122,263.4290,85.4421,265.4421,2.0132
9,10,0.3979,624.5736,301.6267,-5.2782,-43.6872,44.0049,0.9168,263.1110,85.2100,265.2100,2.0990
10,11,0.4421,624.3644,299.8701,-5.5745,-41.3275,41.7017,0.8688,262.3180,85.0659,265.0659,2.7479
11,12,0.4863,624.0807,297.9725,-7.1088,-40.5660,41.1842,0.8580,260.0604,84.3837,264.3837,4.3233
12,13,0.5305,623.7358,296.2832,-6.6684,-43.4512,43.9599,0.9158,261.2750,84.3611,264.3611,3.0861
13,14,0.5747,623.4911,294.1305,-5.9409,-49.4229,49.7787,1.0371,263.1456,84.7453,264.7453,1.5997
14,15,0.6189,623.2105,291.9132,-6.8447,-51.8135,52.2636,1.0888,262.4746,85.2231,265.2231,2.7485
15,16,0.6632,622.8859,289.5491,-7.8666,-58.6981,59.2229,1.2338,262.3668,84.0675,264.0675,1.7007
16,17,0.7074,622.5149,286.7231,-8.8325,-65.9450,66.5339,1.3861,262.3713,84.9177,264.9177,2.5463
17,18,0.7516,622.1049,283.7181,-10.3598,-63.6017,64.4399,1.3425,260.7486,83.8987,263.8987,3.1501
18,20,0.7958,621.5989,281.0993,-10.5255,-61.1931,62.0918,1.2936,260.2403,82.6594,262.6594,2.4191
19,21,0.8400,621.1742,278.3074,-10.4216,-62.1054,62.9737,1.3120,260.4742,83.2443,263.2443,2.7701
20,22,0.8842,620.6774,275.6079,-11.3519,-58.8950,59.9790,1.2496,259.0902,82.1989,262.1989,3.1088
21,23,0.9284,620.1705,273.0998,-10.7067,-52.8722,53.9454,1.1239,258.5524,82.9278,262.9278,4.3755
22,24,0.9726,619.7307,270.9329,-12.2556,-56.3978,57.7140,1.2024,257.7399,81.7741,261.7741,4.0343
23,25,1.0168,619.0868,268.1131,-15.7546,-64.3271,66.2283,1.3798,256.2383,79.6446,259.6446,3.4062
24,26,1.0611,618.3377,265.2450,-16.5813,-67.9016,69.8968,1.4562,256.2771,79.0733,259.0733,2.7961
25,28,1.1053,617.6207,262.1092,-17.2729,-70.8419,72.9173,1.5191,256.2973,79.6899,259.6899,3.3926
26,29,1.1495,616.8104,258.9811,-16.4445,-66.6448,68.6436,1.4301,256.1392,79.0011,259.0011,2.8618
27,30,1.1937,616.1667,256.2164,-12.5347,-55.4190,56.8189,1.1837,257.2552,78.2716,258.2716,1.0164
28,31,1.2379,615.7021,254.0809,-11.0886,-49.0025,50.2415,1.0467,257.2495,78.1654,258.1654,0.9159
29,32,1.2821,615.1862,251.8835,-13.1241,-53.6838,55.2648,1.1514,256.2623,80.3601,260.3601,4.0978
30,33,1.3263,614.5416,249.3341,-16.1069,-62.9482,64.9762,1.3537,255.6473,76.5931,256.5931,0.9458
31,34,1.3705,613.7620,246.3176,-18.6030,-67.4784,69.9957,1.4582,254.5871,77.2614,257.2614,2.6743
32,36,1.4147,612.8967,243.3676,-18.2859,-63.4485,66.0310,1.3756,253.9230,74.7987,254.7987,0.8757
33,37,1.4589,612.1451,240.7074,-16.9547,-58.9131,61.3043,1.2772,253.9446,74.2212,254.2212,0.2766
34,38,1.5032,611.3976,238.1584,-17.0567,-55.8927,58.4373,1.2174,253.0295,76.8785,256.8785,3.8490
35,39,1.5474,610.6370,235.7653,-16.9935,-51.6654,54.3883,1.1331,251.7932,74.8005,254.8005,3.0074
36,40,1.5916,609.8950,233.5901,-16.5729,-46.7339,49.5855,1.0330,250.4743,72.4854,252.4854,2.0111
37,41,1.6358,609.1716,231.6330,-16.3626,-44.2682,47.1954,0.9832,249.7144,72.2609,252.2609,2.5465
