k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,psi_body_deg,beta_deg
0,0,0.0000,-4.0163,542.0813,11004.6214,-171.9761,11005.9651,49.8007,359.1047,76.3475,76.3475,77.2428
1,2,0.0480,524.4107,533.8233,9682.8593,-176.8396,9684.4740,43.8211,358.9537,79.3083,79.3083,80.3546
2,5,0.0960,925.8993,525.0981,7039.3351,-186.5665,7041.8070,31.8634,358.4818,82.3013,82.3013,83.8195
3,7,0.1441,1200.4494,515.9059,4285.4470,-204.3361,4290.3157,19.4132,357.2701,85.2622,85.2622,87.9920
4,9,0.1921,1337.4621,505.4743,1535.2132,-213.3938,1549.9730,7.0135,352.0866,76.4271,76.4271,84.3405
5,12,0.2401,1347.8872,495.4122,-442.5415,-200.1030,485.6791,2.1976,204.3310,64.6028,244.6028,40.2719
6,14,0.2881,1294.9616,486.2569,-662.6032,-169.3054,683.8913,3.0945,194.3333,46.6462,226.6462,32.3129
7,17,0.3361,1284.2525,479.1525,-207.4749,-143.0022,251.9831,1.1402,214.5766,35.9515,215.9515,1.3749
8,19,0.3841,1275.0362,472.5234,-202.8844,-146.7213,250.3781,1.1329,215.8736,29.9189,209.9189,-5.9547
9,21,0.4322,1264.7681,465.0618,-244.0539,-160.2521,291.9641,1.3211,213.2899,26.4246,206.4246,-6.8654
10,23,0.4802,1251.5980,457.1332,-307.6538,-176.4289,354.6520,1.6048,209.8328,23.4954,203.4954,-6.3374
11,26,0.5282,1235.2218,448.1181,-373.6108,-199.8632,423.7102,1.9172,208.1446,20.9689,200.9689,-7.1757
12,28,0.5762,1215.7174,437.9389,-428.3135,-214.0897,478.8391,2.1667,206.5579,20.3946,200.3946,-6.1632
13,32,0.6242,1194.0878,427.5575,-445.4776,-210.6681,492.7792,2.2298,205.3096,18.9453,198.9453,-6.3644
14,34,0.6723,1172.9349,417.7069,-435.7840,-200.9438,479.8813,2.1714,204.7548,17.3239,197.3239,-7.4310
15,36,0.7203,1152.2363,408.2594,-431.4329,-194.3836,473.2011,2.1412,204.2541,15.9292,195.9292,-8.3250
16,38,0.7683,1131.5013,399.0388,-426.8327,-187.7460,466.2989,2.1099,203.7427,14.6527,194.6527,-9.0900
17,40,0.8163,1111.2444,390.2287,-415.1581,-177.8590,451.6526,2.0437,203.1909,13.2237,193.2237,-9.9672
18,43,0.8643,1091.6306,381.9577,-400.2882,-165.3602,433.0988,1.9597,202.4457,11.3373,191.3373,-11.1084
19,46,0.9124,1072.8018,374.3480,-383.3676,-154.3938,413.2894,1.8701,201.9361,8.7513,188.7513,-13.1849
20,48,0.9604,1054.8130,367.1301,-377.6825,-149.1801,406.0772,1.8375,201.5534,5.9096,185.9096,-15.6439
21,50,1.0084,1036.5302,360.0211,-382.8735,-145.8015,409.6952,1.8538,200.8473,2.5845,182.5845,-18.2628
22,52,1.0564,1018.0429,353.1277,-381.0176,-137.9384,405.2177,1.8336,199.9016,0.3856,180.3856,-19.5160
23,55,1.1044,999.9383,346.7739,-375.3354,-126.6931,396.1411,1.7925,198.6519,177.7723,177.7723,-20.8796
