k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,axis_src,psi_body_deg,beta_deg
0,0,0.0000,355.2346,191.2322,-147.1114,-16.6518,148.0508,0.8865,186.4579,146.5723,pca,146.5723,-39.8857
1,32,0.0591,346.5416,190.2483,-167.2841,-7.9533,167.4731,1.0028,182.7220,,none,,
2,38,0.1182,335.4646,190.2923,-207.6296,9.4438,207.8442,1.2446,177.3957,143.1905,pca,143.1905,-34.2052
3,40,0.1773,322.0036,191.3643,-259.8524,25.0232,261.0545,1.5632,174.4995,138.0742,pca,138.0742,-36.4253
4,42,0.2364,304.7548,193.2496,-302.4181,44.1020,305.6169,1.8300,171.7030,132.9570,pca,132.9570,-38.7459
5,44,0.2955,286.2633,196.5764,-300.5993,64.8869,307.5227,1.8415,167.8191,128.6125,pca,128.6125,-39.2066
6,47,0.3545,269.2294,200.9180,-286.2465,81.9791,297.7543,1.7830,164.0186,124.9380,pca,124.9380,-39.0806
7,49,0.4136,252.4342,206.2648,-276.6569,97.5545,293.3529,1.7566,160.5764,121.0139,pca,121.0139,-39.5625
8,52,0.4727,236.5336,212.4472,-260.0862,112.7462,283.4723,1.6974,156.5635,116.2185,pca,116.2185,-40.3450
9,54,0.5318,221.6967,219.5894,-246.1477,130.7759,278.7311,1.6690,152.0187,112.1943,pca,112.1943,-39.8244
10,57,0.5909,207.4435,227.9025,-239.0994,151.6324,283.1270,1.6954,147.6179,107.8216,pca,107.8216,-39.7963
11,59,0.6500,193.4395,237.5096,-240.5835,170.5640,294.9110,1.7659,144.6649,102.5413,pca,102.5413,-42.1236
12,61,0.7091,179.0109,248.0601,-241.1538,191.6324,308.0229,1.8444,141.5277,96.7174,pca,96.7174,-44.8103
13,64,0.7682,164.9395,260.1570,-217.5584,216.2401,306.7433,1.8368,135.1741,92.0210,pca,92.0210,-43.1531
14,66,0.8273,153.2994,273.6158,-172.2578,246.5235,300.7434,1.8009,124.9439,86.9354,pca,86.9354,-38.0084
15,69,0.8864,144.5818,289.2916,-126.9289,272.6135,300.7143,1.8007,114.9667,86.9513,pca,86.9513,-28.0154
16,71,0.9455,138.2987,305.8337,-87.1595,285.4714,298.4807,1.7873,106.9784,85.9196,pca,85.9196,-21.0588
17,73,1.0045,134.2811,323.0292,-60.4157,301.5795,307.5715,1.8417,101.3282,83.6717,pca,83.6717,-17.6565
18,76,1.0636,131.1587,341.4749,-42.4529,325.2549,328.0137,1.9642,97.4363,82.2006,pca,82.2006,-15.2357
19,78,1.1227,129.2639,361.4684,-22.6958,350.2978,351.0323,2.1020,93.7070,81.2964,pca,81.2964,-12.4106
20,81,1.1818,128.4765,382.8738,4.1443,374.0432,374.0662,2.2399,89.3652,81.1267,pca,81.1267,-8.2385
21,83,1.2409,129.7537,405.6735,36.4674,382.7023,384.4359,2.3020,84.5568,81.2028,pca,81.2028,-3.3540
22,85,1.3000,132.7862,428.1022,64.9805,370.9927,376.6404,2.2553,80.0652,77.5025,pca,77.5025,-2.5628
23,88,1.3591,137.4332,449.5181,79.8481,345.5561,354.6615,2.1237,76.9889,79.6684,pca,79.6684,2.6794
24,90,1.4182,142.2228,468.9407,73.5427,313.2820,321.7983,1.9269,76.7891,86.5449,pca,86.5449,9.7558
25,93,1.4773,146.1246,486.5423,52.1218,277.5850,282.4361,1.6912,79.3655,89.7569,pca,89.7569,10.3915
26,95,1.5364,148.3827,501.7462,27.7766,238.3722,239.9851,1.4370,83.3535,91.7056,pca,91.7056,8.3521
27,97,1.5955,149.4073,514.7136,6.9772,223.0473,223.1564,1.3363,88.2083,93.7349,pca,93.7349,5.5266
28,100,1.6545,149.2073,528.1063,-14.8733,228.6367,229.1200,1.3720,93.7220,69.2958,pca,69.2958,-24.4261
29,102,1.7136,147.6496,541.7343,-15.1904,236.2482,236.7360,1.4176,93.6790,33.6282,pca,33.6282,-60.0508
30,105,1.7727,147.4120,556.0266,22.7728,252.3386,253.3641,1.5172,84.8432,16.7058,pca,16.7058,-68.1374
31,107,1.8318,150.3409,571.5561,85.7981,251.9818,266.1881,1.5939,71.1966,4.0239,pca,4.0239,-67.1727
32,109,1.8909,157.5518,585.8062,148.5996,232.0029,275.5126,1.6498,57.3601,179.7469,pca,359.7469,-57.6132
33,112,1.9500,167.9027,598.9746,181.7249,227.1675,290.9106,1.7420,51.3416,175.5941,pca,355.5941,-55.7475
34,114,2.0091,179.0284,612.6533,134.8030,254.6087,288.0927,1.7251,62.1009,173.3632,pca,353.3632,-68.7377
35,117,2.0682,183.8339,629.0648,68.2166,300.2425,307.8946,1.8437,77.1994,165.0520,pca,165.0520,87.8525
36,119,2.1273,187.0903,648.1365,95.7566,319.8323,333.8593,1.9992,73.3325,157.1640,pca,157.1640,83.8315
37,121,2.1864,195.1506,666.8631,200.5169,296.2634,357.7416,2.1422,55.9091,152.1230,pca,332.1230,-83.7861
38,124,2.2455,210.7878,683.1494,349.4428,223.6925,414.9079,2.4845,32.6249,142.7840,pca,322.7840,-69.8410
39,126,2.3045,236.4484,693.2995,485.9022,108.0352,497.7676,2.9806,12.5352,138.0250,pca,318.0250,-54.5102
40,129,2.3636,268.2126,695.9172,510.5225,47.3967,512.7179,3.0702,5.3041,134.7146,pca,314.7146,-50.5895
41,131,2.4227,296.7829,698.9009,456.2586,44.1251,458.3873,2.7448,5.5239,126.2005,pca,306.2005,-59.3234
42,133,2.4818,322.1341,701.1320,434.6111,15.5244,434.8882,2.6041,2.0457,124.8283,pca,304.8283,-57.2174
43,136,2.5409,348.1460,700.7356,438.8686,-46.0595,441.2789,2.6424,354.0087,120.2653,pca,300.2653,-53.7434
44,138,2.6000,374.0004,695.6886,450.6473,-147.4477,474.1559,2.8393,341.8824,115.2688,pca,295.2688,-46.6136
45,141,2.6591,401.4043,683.3100,451.6060,-251.5880,516.9570,3.0956,330.8780,121.9639,pca,301.9639,-28.9141
46,143,2.7182,427.3720,665.9555,417.6379,-278.9718,502.2417,3.0074,326.2581,108.5819,pca,288.5819,-37.6762
47,145,2.7773,450.7616,650.3406,360.6059,-243.6959,435.2290,2.6062,325.9493,103.1481,pca,283.1481,-42.8013
48,148,2.8364,469.9890,637.1551,310.1483,-202.9598,370.6544,2.2195,326.7994,95.8773,pca,275.8773,-50.9222
49,150,2.8955,487.4154,626.3544,276.2517,-197.8586,339.7985,2.0347,324.3888,86.0883,pca,266.0883,-58.3005
50,152,2.9545,502.6370,613.7718,238.6719,-236.2235,335.8062,2.0108,315.2954,82.5874,pca,262.5874,-52.7080
51,155,3.0136,515.6221,598.4371,194.8727,-285.4757,345.6469,2.0697,304.3184,77.1981,pca,257.1981,-47.1203
52,157,3.0727,525.6674,580.0337,152.5424,-336.2797,369.2603,2.2111,294.3999,73.1738,pca,253.1738,-41.2261
53,160,3.1318,533.6499,558.6950,110.8114,-375.3115,391.3283,2.3433,286.4493,71.6574,pca,251.6574,-34.7919
54,163,3.1909,538.7633,535.6787,66.9587,-397.1390,402.7442,2.4116,279.5702,66.8875,pca,246.8875,-32.6828
55,165,3.2500,541.5632,511.7604,34.7683,-387.0677,388.6261,2.3271,275.1328,62.7043,pca,242.7043,-32.4285
56,168,3.3091,542.8722,489.9344,8.0092,-358.4226,358.5120,2.1468,271.2801,58.2040,pca,238.2040,-33.0761
