k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,axis_src,psi_body_deg,beta_deg
0,0,0.0000,433.0673,164.9705,-40.6847,108.1910,115.5877,0.2340,110.6085,85.1570,annotated,85.1570,-25.4515
1,1,0.0342,431.6744,168.6747,-40.8927,105.7183,113.3516,0.2295,111.1469,84.4730,annotated,84.4730,-26.6739
2,3,0.0685,430.2672,172.2096,-41.3089,100.7730,108.9111,0.2205,112.2897,82.1740,interp,82.1740,-30.1157
3,5,0.1027,428.8457,175.5752,-42.8726,93.5980,102.9497,0.2084,114.6102,79.8600,interp,79.8600,-34.7502
4,7,0.1370,427.3314,178.6188,-43.4232,94.5717,104.0643,0.2107,114.6625,77.5610,annotated,77.5610,-37.1015
5,9,0.1712,425.8723,182.0510,-39.6004,98.9462,106.5764,0.2157,111.8124,78.1646,interp,78.1646,-33.6478
6,11,0.2054,424.6198,185.3942,-33.4230,96.8722,102.4759,0.2074,109.0355,78.7684,interp,78.7684,-30.2671
7,13,0.2397,423.5836,188.6844,-28.8354,101.1553,105.1849,0.2129,105.9107,79.3720,annotated,79.3720,-26.5387
8,15,0.2739,422.6453,192.3208,-30.3905,110.8733,114.9629,0.2327,105.3283,79.4640,annotated,79.4640,-25.8643
9,17,0.3081,421.5026,196.2765,-33.6144,114.2246,119.0680,0.2410,106.3983,78.3619,interp,78.3619,-28.0364
10,19,0.3424,420.3435,200.1424,-33.1017,111.9623,116.7530,0.2363,106.4704,77.2581,interp,77.2581,-29.2122
11,21,0.3766,419.2360,203.9432,-29.1860,108.7920,112.6389,0.2280,105.0173,76.1560,annotated,76.1560,-28.8613
12,23,0.4109,418.3450,207.5920,-25.8603,105.1387,108.2723,0.2192,103.8184,75.8170,interp,75.8170,-28.0014
13,25,0.4451,417.4652,211.1426,-22.9717,107.9246,110.3422,0.2234,102.0161,75.4780,annotated,75.4780,-26.5381
14,27,0.4793,416.7720,214.9822,-20.0372,105.7969,107.6777,0.2180,100.7244,71.2660,annotated,71.2660,-29.4584
15,29,0.5136,416.0931,218.3871,14.1383,143.8973,144.5902,0.2927,84.3885,70.3876,interp,70.3876,-14.0009
16,32,0.5478,417.7401,224.8356,-38.8002,70.1078,80.1284,0.1622,118.9618,69.5084,interp,69.5084,-49.4534
17,33,0.5820,413.4363,223.1877,-185.8023,-120.2214,221.3045,0.4480,212.9045,68.6300,annotated,248.6300,35.7255
18,36,0.6163,405.0172,216.6034,-274.7521,-224.0006,354.4925,0.7176,219.1898,71.7170,annotated,251.7170,32.5272
19,37,0.6505,394.6225,207.8492,-290.7165,-239.3155,376.5474,0.7622,219.4609,69.8180,interp,249.8180,30.3571
20,40,0.6848,385.1103,200.2161,-230.0925,-170.9094,286.6227,0.5802,216.6044,67.9190,annotated,247.9190,31.3146
21,42,0.7190,378.8668,196.1461,-96.6240,-11.3051,97.2831,0.1969,186.6733,67.6967,interp,247.6967,61.0233
22,43,0.7532,378.4939,199.4420,-44.3525,55.0870,70.7229,0.1432,128.8388,67.4743,interp,67.4743,-61.3644
23,46,0.7875,375.8297,199.9182,-81.5656,6.9337,81.8598,0.1657,175.1411,67.2520,annotated,247.2520,72.1109
24,48,0.8217,372.9087,199.9168,-91.6385,0.6246,91.6406,0.1855,179.6095,66.7711,interp,246.7711,67.1616
25,50,0.8559,369.5548,199.9610,-100.1621,3.6719,100.2294,0.2029,177.9005,66.2897,interp,246.2897,68.3892
26,51,0.8902,366.0500,200.1682,-101.4766,9.9825,101.9665,0.2064,174.3817,65.8080,interp,245.8080,71.4263
27,53,0.9244,362.6061,200.6445,-98.2325,18.0258,99.8727,0.2022,169.6018,65.3263,interp,245.3263,75.7245
28,55,0.9587,359.3235,201.4026,-93.1104,27.5942,97.1132,0.1966,163.4923,64.8449,interp,244.8449,81.3526
29,57,0.9929,356.2303,202.5341,-88.7304,32.7698,94.5883,0.1915,159.7299,64.3640,annotated,244.3640,84.6341
30,59,1.0271,353.2477,203.6465,-88.6208,36.3073,95.7699,0.1939,157.7215,63.1017,interp,243.1017,85.3803
31,61,1.0614,350.1620,205.0202,-91.7393,38.7162,99.5743,0.2016,157.1191,61.8345,interp,241.8345,84.7154
32,63,1.0956,346.9658,206.2976,-93.9397,36.7452,100.8706,0.2042,158.6367,60.5673,interp,240.5673,81.9306
33,65,1.1298,343.7294,207.5364,-96.8505,34.8890,102.9430,0.2084,160.1892,59.3050,annotated,239.3050,79.1158
34,67,1.1641,340.3339,208.6866,-101.2565,31.2022,105.9549,0.2145,162.8733,58.7033,interp,238.7033,75.8300
35,69,1.1983,336.7958,209.6730,-106.5910,26.9195,109.9377,0.2225,165.8264,58.1003,interp,238.1003,72.2740
36,71,1.2326,333.0350,210.5300,-99.2459,41.8272,107.6999,0.2180,157.1470,57.4965,interp,237.4965,80.3495
37,73,1.2668,329.9999,212.5371,-118.8412,19.5519,120.4388,0.2438,170.6573,56.8925,interp,236.8925,66.2352
38,76,1.3010,324.8973,211.8688,-164.6775,-39.2614,169.2930,0.3427,193.4098,56.2887,interp,236.2887,42.8789
39,77,1.3353,318.7235,209.8487,-181.9843,-62.6570,192.4687,0.3896,198.9985,55.6857,interp,235.6857,36.6871
40,79,1.3695,312.4359,207.5783,-171.9294,-53.6514,180.1060,0.3646,197.3308,55.0840,annotated,235.0840,37.7532
41,81,1.4037,306.9506,206.1748,-138.3756,-11.2311,138.8306,0.2810,184.6402,54.8662,interp,234.8662,50.2260
42,83,1.4380,302.9605,206.8093,-84.4193,63.2329,105.4752,0.2135,143.1656,54.6484,interp,54.6484,-88.5172
43,85,1.4722,301.1700,210.5047,-64.9507,96.0329,115.9350,0.2347,124.0720,54.4304,interp,54.4304,-69.6415
44,87,1.5065,298.5130,213.3852,-76.7102,85.8120,115.1006,0.2330,131.7946,54.2125,interp,54.2125,-77.5821
45,89,1.5407,295.9172,216.3808,-76.7620,87.9553,116.7413,0.2363,131.1125,53.9946,interp,53.9946,-77.1179
46,91,1.5749,293.2567,219.4080,-78.2243,88.3847,118.0292,0.2389,131.5102,53.7766,interp,53.7766,-77.7336
47,93,1.6092,290.5607,222.4329,-80.2750,87.3911,118.6646,0.2402,132.5697,53.5588,interp,53.5588,-79.0109
48,95,1.6434,287.7598,225.3921,-80.0070,85.5388,117.1239,0.2371,133.0862,53.3410,annotated,53.3410,-79.7452
49,97,1.6776,285.0822,228.2903,-79.5491,83.8455,115.5773,0.2340,133.4938,52.1967,interp,52.1967,-81.2971
50,99,1.7119,282.3127,231.1335,-79.5189,81.1660,113.6274,0.2300,134.4127,51.0469,interp,51.0469,-83.3659
51,101,1.7461,279.6371,233.8481,-76.5073,80.3851,110.9736,0.2246,133.5841,49.8951,interp,49.8951,-83.6890
52,103,1.7804,277.0738,236.6379,-71.0713,83.3743,109.5555,0.2218,130.4455,48.7453,interp,48.7453,-81.7002
53,105,1.8146,274.7705,239.5572,-65.6017,88.7343,110.3511,0.2234,126.4757,47.6010,annotated,47.6010,-78.8747
54,107,1.8488,272.5817,242.7140,-60.0845,94.4047,111.9035,0.2265,122.4750,47.2313,interp,47.2313,-75.2437
55,109,1.8831,270.6562,246.0216,-59.9241,86.8182,105.4908,0.2135,124.6144,46.8615,interp,46.8615,-77.7530
56,111,1.9173,268.4783,248.6589,-63.2444,95.9139,114.8883,0.2326,123.4003,46.4915,interp,46.4915,-76.9088
57,113,1.9516,266.3255,252.5894,-52.9859,117.9650,129.3184,0.2618,114.1880,46.1217,interp,46.1217,-68.0663
58,115,1.9858,264.8501,256.7366,-37.6492,128.6783,134.0730,0.2714,106.3086,45.7520,annotated,45.7520,-60.5566
59,117,2.0200,263.7475,261.4007,-22.3157,133.3451,135.1995,0.2737,99.5006,45.2939,interp,45.2939,-54.2067
60,118,2.0543,263.3220,265.8675,-8.5735,121.1100,121.4131,0.2458,94.0493,44.8352,interp,44.8352,-49.2141
61,119,2.0885,263.1604,269.6937,-9.7866,106.9190,107.3660,0.2173,95.2299,44.3761,interp,44.3761,-50.8538
62,121,2.1227,262.6519,273.1888,-17.3550,124.6030,125.8059,0.2547,97.9293,43.9169,interp,43.9169,-54.0124
63,122,2.1570,261.9720,278.2260,-18.3158,153.1422,154.2336,0.3122,96.8202,43.4578,interp,43.4578,-53.3623
64,123,2.1912,261.3977,283.6753,-18.2618,170.6278,171.6022,0.3474,96.1089,42.9991,interp,42.9991,-53.1098
65,125,2.2255,260.7215,289.9098,-12.0937,172.8373,173.2599,0.3507,94.0026,42.5410,annotated,42.5410,-51.4616
66,128,2.2597,260.5696,295.5104,-2.5744,179.0919,179.1104,0.3626,90.8235,41.7244,interp,41.7244,-49.0991
67,130,2.2939,260.5452,302.1732,1.8079,210.9534,210.9612,0.4270,89.5090,40.9065,interp,40.9065,-48.6025
68,131,2.3282,260.6934,309.9555,5.7719,230.1096,230.1820,0.4660,88.5631,40.0886,interp,40.0886,-48.4746
69,135,2.3624,260.9405,317.9301,6.3910,229.9130,230.0018,0.4656,88.4077,39.2720,annotated,39.2720,-49.1357
70,137,2.3966,261.1310,325.6989,6.7701,216.0443,216.1503,0.4376,88.2051,38.7821,interp,38.7821,-49.4230
71,139,2.4309,261.4040,332.7238,9.7218,183.3416,183.5991,0.3717,86.9647,38.2917,interp,38.2917,-48.6730
72,141,2.4651,261.7967,338.2533,11.9680,168.6702,169.0943,0.3423,85.9414,37.8013,interp,37.8013,-48.1401
73,143,2.4994,262.2236,344.2736,15.3431,175.7184,176.3870,0.3571,85.0098,37.3109,interp,37.3109,-47.6989
74,145,2.5336,262.8473,350.2857,19.4198,175.2432,176.3160,0.3569,83.6765,36.8210,annotated,36.8210,-46.8555
75,147,2.5678,263.5533,356.2734,21.9043,176.1387,177.4954,0.3593,82.9112,36.3101,interp,36.3101,-46.6011
76,149,2.6021,264.3472,362.3469,21.4901,177.3714,178.6685,0.3617,83.0918,35.7989,interp,35.7989,-47.2928
77,151,2.6363,265.0249,368.4190,24.2543,177.5285,179.1777,0.3627,82.2203,35.2880,annotated,35.2880,-46.9323
78,153,2.6705,266.0081,374.5032,32.6230,179.3826,182.3250,0.3691,79.6927,34.8500,interp,34.8500,-44.8427
79,155,2.7048,267.2588,380.7023,39.6471,181.3615,185.6445,0.3758,77.6687,34.4120,interp,34.4120,-43.2567
80,157,2.7390,268.7229,386.9221,42.2907,181.1460,186.0171,0.3766,76.8590,33.9740,annotated,33.9740,-42.8850
81,159,2.7733,270.1546,393.1064,41.7433,181.7010,186.4343,0.3774,77.0616,33.2965,interp,33.2965,-43.7651
82,161,2.8075,271.5813,399.3641,37.5153,180.1027,183.9684,0.3724,78.2336,32.6185,interp,32.6185,-45.6150
83,163,2.8417,272.7235,405.4390,34.7684,177.6453,181.0158,0.3664,78.9262,31.9410,annotated,31.9410,-46.9852
84,165,2.8760,273.9621,411.5285,36.8784,175.8265,179.6524,0.3637,78.1543,31.3524,interp,31.3524,-46.8019
85,167,2.9102,275.2488,417.4788,38.2776,171.8792,176.0898,0.3565,77.4451,30.7636,interp,30.7636,-46.6815
86,169,2.9444,276.5832,423.2980,37.0828,168.5363,172.5677,0.3493,77.5910,30.1750,annotated,30.1750,-47.4160
87,171,2.9787,277.7880,429.0194,36.7437,166.4628,170.4698,0.3451,77.5526,29.6752,interp,29.6752,-47.8774
88,173,3.0129,279.0992,434.6966,39.0633,165.5609,170.1069,0.3443,76.7241,29.1746,interp,29.1746,-47.5495
89,175,3.0472,280.4629,440.3562,40.2760,166.7458,171.5410,0.3472,76.4208,28.6736,interp,28.6736,-47.7472
90,177,3.0814,281.8571,446.1146,45.0048,166.8123,172.7766,0.3498,74.9015,28.1724,interp,28.1724,-46.7291
91,179,3.1156,283.5446,451.7788,51.4926,165.5966,173.4178,0.3510,72.7268,27.6714,interp,27.6714,-45.0554
92,181,3.1499,285.3831,457.4539,53.3044,165.3956,173.7731,0.3518,72.1367,27.1708,interp,27.1708,-44.9659
93,183,3.1841,287.1947,463.1043,53.9579,163.7624,172.4227,0.3490,71.7635,26.6710,annotated,26.6710,-45.0925
94,185,3.2183,289.0779,468.6676,55.0449,162.8856,171.9350,0.3480,71.3281,26.3339,interp,26.3339,-44.9942
95,187,3.2526,290.9639,474.2580,55.8786,163.7301,173.0028,0.3502,71.1560,25.9966,interp,25.9966,-45.1594
96,189,3.2868,292.9042,479.8791,61.9039,165.7452,176.9282,0.3582,69.5199,25.6594,interp,25.6594,-43.8606
97,191,3.3211,295.2028,485.6075,69.3005,167.2673,181.0550,0.3665,67.4953,25.3221,interp,25.3221,-42.1732
98,193,3.3553,297.6496,491.3328,73.5414,168.7709,184.0977,0.3727,66.4550,24.9850,annotated,24.9850,-41.4700
99,195,3.3895,300.2386,497.1641,76.0027,169.0972,185.3922,0.3753,65.7979,24.5254,interp,24.5254,-41.2725
