# video02 人工标注的车身轴（mod 180 度），由 python -m src.annotate 生成
# axis_deg 是唯一被下游读取的字段；x1..y2 是工作图坐标下的原始点选，供复核
# src: manual=人工点选 / hint=人工确认了 PCA 提示轴
k,axis_deg,x1,y1,x2,y2,src,ts
8,27.515,1203.36,494.27,1302.95,546.15,manual,2026-09-23T12:48:42.803Z
10,26.340,1342.03,464.80,1208.96,398.91,manual,2026-09-23T12:44:10.796Z
15,17.996,1082.62,352.86,1234.77,402.28,manual,2026-09-23T12:47:09.984Z
19,8.099,951.76,366.27,1176.28,398.22,manual,2026-09-23T12:40:41.183Z
21,4.175,946.69,322.30,1110.85,334.28,manual,2026-09-23T12:48:48.850Z
24,176.011,902.42,315.27,1045.61,305.29,manual,2026-09-23T12:44:39.236Z
27,164.923,845.93,315.24,962.67,283.79,manual,2026-09-23T12:46:35.310Z
30,155.771,843.57,393.09,947.84,346.17,manual,2026-09-23T12:42:59.830Z
32,146.101,743.49,339.67,880.17,247.83,manual,2026-09-23T12:46:53.920Z
33,142.825,730.99,343.16,873.15,235.35,manual,2026-09-23T12:49:09.300Z
35,129.036,699.50,355.63,785.28,249.84,manual,2026-09-23T12:46:11.917Z
38,119.622,687.67,432.00,800.90,232.85,manual,2026-09-23T12:39:41.779Z
39,113.025,811.35,258.31,747.50,408.55,manual,2026-09-23T12:49:51.886Z
40,109.531,741.48,404.07,793.36,257.82,manual,2026-09-23T12:47:40.654Z
42,102.650,752.90,283.28,726.46,401.09,manual,2026-09-23T12:45:39.019Z
44,92.126,720.42,263.34,714.43,424.57,manual,2026-09-23T12:49:02.534Z
47,88.066,702.43,265.35,707.42,413.10,manual,2026-09-23T12:46:01.708Z
49,78.662,668.98,276.84,700.91,436.07,manual,2026-09-23T12:49:43.582Z
50,73.770,651.75,278.35,696.65,432.59,manual,2026-09-23T12:49:25.758Z
51,73.659,661.95,470.05,604.59,274.38,manual,2026-09-23T12:40:05.707Z
52,69.847,636.49,286.87,692.37,439.12,manual,2026-09-23T12:49:21.024Z
53,61.168,607.04,300.37,690.85,452.61,manual,2026-09-23T12:49:15.382Z
54,60.993,607.27,301.39,688.09,447.14,manual,2026-09-23T12:44:47.636Z
56,48.704,574.82,336.88,672.59,448.17,manual,2026-09-23T12:47:02.284Z
58,44.412,558.84,343.92,678.04,460.69,manual,2026-09-23T12:45:27.083Z
60,29.009,541.12,403.86,660.82,470.23,manual,2026-09-23T12:47:17.891Z
62,21.622,696.73,546.64,490.23,464.79,manual,2026-09-23T12:39:29.867Z
64,13.903,521.15,458.85,664.31,494.29,manual,2026-09-23T12:48:16.693Z
66,11.409,529.14,473.88,647.86,497.83,manual,2026-09-23T12:44:29.888Z
68,179.794,535.39,514.85,674.07,514.35,manual,2026-09-23T12:48:08.664Z
70,173.297,527.43,541.35,676.09,523.88,manual,2026-09-23T12:44:55.967Z
73,163.672,558.15,575.35,689.35,536.92,manual,2026-09-23T12:48:22.139Z
75,153.721,767.70,561.41,576.64,655.75,manual,2026-09-23T12:39:56.062Z
77,150.479,579.93,623.83,735.06,535.99,manual,2026-09-23T12:48:36.292Z
79,142.528,637.59,616.37,722.88,550.98,manual,2026-09-23T12:46:27.876Z
82,132.707,742.41,553.01,670.09,631.36,manual,2026-09-23T12:42:28.770Z
84,121.797,762.91,548.54,705.06,641.85,manual,2026-09-23T12:48:55.360Z
86,114.386,772.44,548.03,728.55,644.85,manual,2026-09-23T12:45:17.977Z
88,107.220,790.95,517.57,742.07,675.29,manual,2026-09-23T12:48:30.812Z
90,97.491,789.00,546.50,776.53,641.34,manual,2026-09-23T12:46:20.137Z
92,90.540,801.27,531.01,800.27,636.83,manual,2026-09-23T12:49:30.943Z
93,84.751,847.94,472.09,868.39,694.73,manual,2026-09-23T12:40:51.323Z
95,79.849,807.57,495.54,835.01,648.78,manual,2026-09-23T12:47:53.693Z
97,71.395,818.58,515.98,850.51,610.81,manual,2026-09-23T12:45:07.462Z
101,59.300,830.62,493.95,881.00,578.81,manual,2026-09-23T12:45:50.144Z
104,51.922,834.15,467.44,897.50,548.30,manual,2026-09-23T12:48:02.710Z
106,46.004,832.92,370.07,989.54,532.28,manual,2026-09-23T12:40:26.782Z
109,41.203,836.44,411.93,912.25,478.30,manual,2026-09-23T12:47:29.614Z
118,42.144,804.74,295.85,872.58,357.24,manual,2026-09-23T12:46:45.877Z
135,44.850,718.96,64.11,833.46,178.01,hint,2026-09-23T12:44:16.725Z
