# video12 人工标注的车身轴（mod 180 度），由 python -m src.annotate 生成
# axis_deg 是唯一被下游读取的字段；x1..y2 是工作图坐标下的原始点选，供复核
# src: manual=人工点选 / hint=人工确认了 PCA 提示轴
k,axis_deg,x1,y1,x2,y2,src,ts
9,75.119,400.22,186.46,428.95,294.59,manual,2026-09-25T08:31:45.347Z
65,50.145,522.63,207.68,597.24,297.05,manual,2026-09-25T08:34:51.125Z
68,39.741,487.79,233.05,576.96,307.18,manual,2026-09-25T08:36:41.090Z
69,38.660,545.15,234.57,573.82,257.50,manual,2026-09-25T08:40:35.764Z
70,30.374,480.98,233.30,582.44,292.77,manual,2026-09-25T08:30:20.945Z
72,24.363,477.79,233.91,583.38,281.72,manual,2026-09-25T08:34:59.566Z
75,11.358,477.05,200.99,591.16,223.91,manual,2026-09-25T08:38:07.569Z
78,178.999,463.10,206.94,577.24,204.95,manual,2026-09-25T08:35:50.106Z
81,165.097,471.91,205.43,533.71,188.98,manual,2026-09-25T08:37:24.518Z
83,157.607,441.73,222.39,549.30,178.06,manual,2026-09-25T08:36:03.390Z
84,151.716,435.78,227.66,538.66,172.30,manual,2026-09-25T08:39:56.246Z
85,147.478,454.58,263.05,550.34,202.00,manual,2026-09-25T08:34:34.768Z
86,144.683,430.65,235.14,525.10,168.22,manual,2026-09-25T08:35:17.661Z
87,136.029,454.13,271.53,536.36,192.20,manual,2026-09-25T08:34:27.411Z
89,129.661,454.02,275.78,526.81,187.98,manual,2026-09-25T08:36:46.847Z
94,114.102,439.33,228.16,454.84,193.50,manual,2026-09-25T08:40:16.084Z
97,103.194,420.26,281.86,446.20,171.18,manual,2026-09-25T08:30:38.783Z
100,90.807,465.03,181.26,463.41,296.41,manual,2026-09-25T08:36:34.553Z
101,88.132,452.79,213.09,453.99,250.06,manual,2026-09-25T08:40:09.839Z
102,83.483,453.70,184.99,466.35,295.78,manual,2026-09-25T08:35:34.181Z
103,65.477,427.85,194.64,476.42,301.10,manual,2026-09-25T08:38:49.722Z
104,61.991,424.03,197.77,478.18,299.57,manual,2026-09-25T08:38:54.500Z
106,55.402,415.36,205.58,481.03,300.77,manual,2026-09-25T08:39:39.868Z
109,45.948,405.48,217.97,486.30,301.50,manual,2026-09-25T08:36:13.514Z
114,28.893,394.48,243.88,495.04,299.37,manual,2026-09-25T08:38:43.309Z
171,164.717,455.77,212.30,567.83,181.68,manual,2026-09-25T08:35:25.083Z
178,124.721,485.00,243.93,516.75,198.12,manual,2026-09-25T08:35:42.156Z
180,119.218,430.32,256.18,487.09,154.68,manual,2026-09-25T08:38:25.741Z
182,111.468,466.64,280.55,509.13,172.50,manual,2026-09-25T08:36:57.999Z
192,67.409,441.77,193.59,486.42,300.90,manual,2026-09-25T08:36:18.383Z
193,64.680,442.18,226.10,458.22,260.00,manual,2026-09-25T08:40:20.719Z
194,60.322,432.69,200.68,490.23,301.64,manual,2026-09-25T08:36:52.222Z
195,56.262,492.89,301.73,428.62,205.50,manual,2026-09-25T08:38:33.065Z
201,33.690,428.25,246.53,474.25,277.19,manual,2026-09-25T08:37:49.698Z
203,20.155,399.05,254.68,506.52,294.12,manual,2026-09-25T08:39:08.414Z
204,16.161,386.79,298.11,498.54,330.49,manual,2026-09-25T08:38:20.580Z
206,9.904,397.09,272.51,512.03,292.57,manual,2026-09-25T08:39:50.483Z
210,177.546,402.12,335.52,497.90,331.42,manual,2026-09-25T08:37:41.920Z
212,167.587,426.30,301.88,480.56,289.94,manual,2026-09-25T08:37:07.547Z
217,151.941,414.93,332.91,517.05,278.47,manual,2026-09-25T08:35:56.467Z
218,148.696,418.08,337.32,517.76,276.70,manual,2026-09-25T08:39:00.741Z
221,138.332,430.05,348.87,517.57,270.97,manual,2026-09-25T08:30:30.869Z
227,115.283,551.73,279.25,503.99,380.32,manual,2026-09-25T08:39:27.915Z
240,64.562,500.57,238.72,552.10,347.07,manual,2026-09-25T08:33:30.215Z
243,54.530,528.20,214.89,596.92,311.34,manual,2026-09-25T08:38:38.295Z
244,50.639,524.30,213.50,598.21,303.60,manual,2026-09-25T08:34:45.159Z
245,46.979,492.79,238.16,573.05,324.16,manual,2026-09-25T08:39:16.954Z
248,36.147,487.02,238.54,582.45,308.25,manual,2026-09-25T08:39:44.973Z
249,33.163,507.38,206.20,604.94,269.95,manual,2026-09-25T08:38:14.894Z
250,25.131,482.83,239.39,588.70,289.05,manual,2026-09-25T08:35:06.165Z
251,20.158,527.33,254.83,563.65,268.16,manual,2026-09-25T08:33:20.694Z
254,7.714,474.77,244.19,591.71,260.03,manual,2026-09-25T08:36:09.075Z
256,2.029,475.42,207.53,593.08,211.70,manual,2026-09-25T08:39:35.156Z
258,173.596,484.88,255.09,574.28,245.06,manual,2026-09-25T08:33:40.673Z
279,102.173,495.04,174.02,471.10,285.02,manual,2026-09-25T08:36:26.889Z
